Team,Year,Split,G,Cmp,Att,Pct,Yds,TD,Avg,Plays,Pass,Rush,Pen,Tot,No.,Fum,Int
Arizona,2024,Offense,12,21.8,27.9,60.0,57.6,0.9,5.5,64.3,10.8,6.2,1.5,1.7,6.5,0.6,1.1
Arizona,2024,Defense,12,18.8,35.8,63.7,44.5,2.1,6.3,65.4,9.8,9.4,1.8,1.3,5.0,0.7,0.7
Arizona,2024,Difference,,+3.0,-7.9,-3.7,+13.1,-1.2,-0.8,-1.1,+1.0,-3.2,-0.3,+0.4,+1.5,-0.1,+0.4
Arizona,2023,Offense,13,25.5,30.6,71.6,53.0,1.3,6.8,66.3,13.3,8.2,1.7,1.1,6.3,0.2,0.8
Arizona,2023,Defense,13,19.8,32.5,59.6,63.5,1.5,5.4,65.8,10.5,6.9,2.2,1.5,7.2,0.8,0.7
Arizona,2023,Difference,,+5.7,-1.9,+12.0,-10.5,-0.2,+1.4,+0.5,+2.8,+1.3,-0.5,-0.4,-0.9,-0.6,+0.1
Arizona,2022,Offense,12,23.6,29.3,61.7,50.0,1.6,6.8,67.6,14.2,8.2,1.8,1.8,5.4,0.7,1.1
Arizona,2022,Defense,12,23.3,37.4,69.8,49.1,2.8,6.6,70.8,11.6,11.7,2.5,1.3,5.1,1.0,0.3
Arizona,2022,Difference,,+0.3,-8.1,-8.1,+0.9,-1.2,+0.2,-3.2,+2.6,-3.5,-0.7,+0.5,+0.3,-0.3,+0.8
Arizona State,2024,Offense,14,16.7,42.2,61.3,53.6,2.1,6.2,69.5,9.6,11.1,1.8,0.6,6.4,0.2,0.4
Arizona State,2024,Defense,14,20.2,30.7,59.1,48.4,1.4,5.2,64.9,11.6,6.8,1.9,1.6,5.4,0.5,1.1
Arizona State,2024,Difference,,-3.5,+11.5,+2.2,+5.2,+0.7,+1.0,+4.6,-2.0,+4.3,-0.1,-1.0,+1.0,-0.3,-0.7
Arizona State,2023,Offense,12,20.3,31.2,55.2,51.4,1.4,4.8,67.8,9.2,7.5,2.1,1.7,5.7,0.5,1.2
Arizona State,2023,Defense,12,22.6,31.8,64.7,60.2,1.3,6.0,66.7,11.7,7.6,1.6,0.8,7.3,0.3,0.4
Arizona State,2023,Difference,,-2.3,-0.6,-9.5,-8.8,+0.1,-1.2,+1.1,-2.5,-0.1,+0.5,+0.9,-1.6,+0.2,+0.8
Arizona State,2022,Offense,12,22.5,32.1,67.0,72.3,1.8,5.9,65.7,12.1,7.3,1.8,1.5,7.3,0.8,0.8
Arizona State,2022,Defense,12,20.5,36.3,60.6,54.5,2.6,6.0,70.1,11.5,10.0,2.5,1.0,5.6,0.1,0.9
Arizona State,2022,Difference,,+2.0,-4.2,+6.4,+17.8,-0.8,-0.1,-4.4,+0.6,-2.7,-0.7,+0.5,+1.7,+0.7,-0.1
Arkansas,2024,Offense,13,19.6,38.0,61.6,59.8,2.6,6.6,69.8,11.5,11.5,1.2,1.8,7.2,1.1,0.7
Arkansas,2024,Defense,13,19.9,35.6,62.0,53.9,1.2,5.5,67.8,11.0,6.5,2.4,1.2,6.5,0.4,0.8
Arkansas,2024,Difference,,-0.3,+2.4,-0.4,+5.9,+1.4,+1.1,+2.0,+0.5,+5.0,-1.2,+0.6,+0.7,+0.7,-0.1
Arkansas,2023,Offense,12,17.3,39.3,64.1,55.4,0.8,4.9,66.3,8.1,7.9,1.3,1.5,6.3,0.8,0.7
Arkansas,2023,Defense,12,16.0,36.4,60.4,42.9,1.1,5.7,62.9,8.6,8.3,1.9,1.4,5.4,0.4,1.0
Arkansas,2023,Difference,,+1.3,+2.9,+3.7,+12.5,-0.3,-0.8,+3.4,-0.5,-0.4,-0.6,+0.1,+0.9,+0.4,-0.3
Arkansas,2022,Offense,13,17.8,46.5,64.7,55.5,2.1,6.4,74.0,9.7,12.8,1.4,1.4,6.4,0.8,0.5
Arkansas,2022,Defense,13,21.2,37.5,61.2,59.0,2.0,6.5,72.0,12.0,8.6,2.1,1.4,7.2,0.7,0.7
Arkansas,2022,Difference,,-3.4,+9.0,+3.5,-3.5,+0.1,-0.1,+2.0,-2.3,+4.2,-0.7,0.0,-0.8,+0.1,-0.2
Arkansas State,2024,Offense,13,21.1,37.5,62.0,51.7,1.4,5.4,71.5,11.1,8.7,2.1,1.4,5.6,0.6,0.8
Arkansas State,2024,Defense,13,18.8,37.2,63.0,58.6,2.5,6.9,67.1,10.6,10.4,1.8,1.5,7.2,0.5,1.1
Arkansas State,2024,Difference,,+2.3,+0.3,-1.0,-6.9,-1.1,-1.5,+4.4,+0.5,-1.7,+0.3,-0.1,-1.6,+0.1,-0.3
Arkansas State,2023,Offense,13,16.0,35.3,56.2,60.9,1.5,5.9,63.8,10.0,7.8,2.0,1.0,6.2,0.3,0.7
Arkansas State,2023,Defense,13,22.8,38.8,68.7,60.2,1.7,6.2,72.0,10.2,9.5,2.5,1.2,6.5,0.6,0.6
Arkansas State,2023,Difference,,-6.8,-3.5,-12.5,+0.7,-0.2,-0.3,-8.2,-0.2,-1.7,-0.5,-0.2,-0.3,-0.3,+0.1
Arkansas State,2022,Offense,12,20.6,31.8,62.4,55.3,1.3,4.9,64.8,10.3,5.5,1.4,0.8,5.8,0.3,0.4
Arkansas State,2022,Defense,12,17.7,40.3,60.4,56.9,1.9,5.8,69.6,9.2,9.5,2.1,1.0,6.5,0.5,0.5
Arkansas State,2022,Difference,,+2.9,-8.5,+2.0,-1.6,-0.6,-0.9,-4.8,+1.1,-4.0,-0.7,-0.2,-0.7,-0.2,-0.1
Army,2024,Offense,14,4.7,54.6,54.1,31.5,3.4,6.0,63.3,3.1,16.4,1.3,0.6,3.2,0.4,0.3
Army,2024,Defense,14,18.1,27.2,62.9,40.5,0.9,5.3,55.9,8.4,7.0,0.9,1.4,4.6,0.1,1.3
Army,2024,Difference,,-13.4,+27.4,-8.8,-9.0,+2.5,+0.7,+7.4,-5.3,+9.4,+0.4,-0.8,-1.4,+0.3,-1.0
Army,2023,Offense,12,6.9,47.8,50.6,36.7,1.6,5.1,61.5,3.8,11.5,0.9,1.8,4.0,0.9,0.9
Army,2023,Defense,12,15.8,36.1,61.3,44.6,1.3,5.9,61.9,8.6,8.5,1.3,1.6,5.8,0.8,0.8
Army,2023,Difference,,-8.9,+11.7,-10.7,-7.9,+0.3,-0.8,-0.4,-4.8,+3.0,-0.4,+0.2,-1.8,+0.1,+0.1
Army,2022,Offense,12,3.5,54.0,40.4,38.9,3.2,5.8,62.7,2.3,14.6,0.8,1.1,4.8,0.8,0.3
Army,2022,Defense,12,13.9,39.4,60.7,41.2,1.6,5.8,62.3,7.8,10.4,1.2,1.4,5.4,0.6,0.8
Army,2022,Difference,,-10.4,+14.6,-20.3,-2.3,+1.6,0.0,+0.4,-5.5,+4.2,-0.4,-0.3,-0.6,+0.2,-0.5
Auburn,2024,Offense,12,19.2,33.7,62.3,49.3,1.1,6.7,64.4,10.6,9.0,1.4,1.8,5.8,0.8,1.1
Auburn,2024,Defense,12,16.6,38.3,56.2,53.5,1.5,4.9,67.8,8.4,7.5,1.8,1.1,6.5,0.4,0.7
Auburn,2024,Difference,,+2.6,-4.6,+6.1,-4.2,-0.4,+1.8,-3.4,+2.2,+1.5,-0.4,+0.7,-0.7,+0.4,+0.4
Auburn,2023,Offense,13,14.5,39.5,59.6,43.8,1.7,5.5,63.8,6.8,10.1,1.7,1.5,5.5,0.5,1.0
Auburn,2023,Defense,13,16.3,35.6,59.1,59.8,1.2,5.6,63.2,8.1,8.2,0.8,1.4,7.0,0.5,0.9
Auburn,2023,Difference,,-1.8,+3.9,+0.5,-16.0,+0.5,-0.1,+0.6,-1.3,+1.9,+0.9,+0.1,-1.5,0.0,+0.1
Auburn,2022,Offense,12,13.3,40.7,51.6,57.3,2.1,5.7,66.3,7.3,10.0,0.8,1.9,7.5,0.9,1.0
Auburn,2022,Defense,12,19.8,37.3,57.8,58.3,2.3,5.5,71.6,10.0,9.1,1.4,1.1,7.6,0.6,0.5
Auburn,2022,Difference,,-6.5,+3.4,-6.2,-1.0,-0.2,+0.2,-5.3,-2.7,+0.9,-0.6,+0.8,-0.1,+0.3,+0.5
BYU,2024,Offense,13,16.7,35.2,57.3,43.2,1.5,6.1,64.3,10.8,9.8,1.6,1.6,5.1,0.5,1.1
BYU,2024,Defense,13,16.7,32.8,55.4,52.2,1.4,4.9,62.9,8.3,7.5,1.2,2.2,6.2,0.5,1.7
BYU,2024,Difference,,0.0,+2.4,+1.9,-9.0,+0.1,+1.2,+1.4,+2.5,+2.3,+0.4,-0.6,-1.1,0.0,-0.6
BYU,2023,Offense,12,18.3,30.0,55.6,43.0,1.3,4.9,63.0,9.4,5.8,1.5,1.6,5.3,0.8,0.8
BYU,2023,Defense,12,20.8,36.6,61.3,61.0,1.5,5.9,70.6,11.2,9.1,1.4,1.7,7.4,0.5,1.2
BYU,2023,Difference,,-2.5,-6.6,-5.7,-18.0,-0.2,-1.0,-7.6,-1.8,-3.3,+0.1,-0.1,-2.1,+0.3,-0.4
BYU,2022,Offense,13,19.8,33.7,65.6,54.0,1.5,6.7,63.8,10.7,9.4,1.8,0.8,5.8,0.2,0.5
BYU,2022,Defense,13,21.0,38.2,66.9,48.1,1.7,5.9,69.5,10.6,9.8,2.2,0.9,5.3,0.3,0.6
BYU,2022,Difference,,-1.2,-4.5,-1.3,+5.9,-0.2,+0.8,-5.7,+0.1,-0.4,-0.4,-0.1,+0.5,-0.1,-0.1
Ball State,2024,Offense,12,23.3,31.1,63.8,45.3,0.8,5.1,67.7,11.2,7.2,1.9,1.2,4.9,0.3,0.9
Ball State,2024,Defense,12,19.4,33.7,62.0,49.4,2.0,7.0,65.0,12.1,8.3,1.8,1.3,5.3,0.7,0.7
Ball State,2024,Difference,,+3.9,-2.6,+1.8,-4.1,-1.2,-1.9,+2.7,-0.9,-1.1,+0.1,-0.1,-0.4,-0.4,+0.2
Ball State,2023,Offense,12,15.0,39.4,59.2,45.2,1.3,4.8,64.8,7.0,9.3,1.8,1.3,5.2,0.6,0.8
Ball State,2023,Defense,12,17.9,31.3,60.2,45.5,1.3,5.2,61.0,9.5,6.5,2.0,0.9,5.1,0.5,0.4
Ball State,2023,Difference,,-2.9,+8.1,-1.0,-0.3,0.0,-0.4,+3.8,-2.5,+2.8,-0.2,+0.4,+0.1,+0.1,+0.4
Ball State,2022,Offense,12,23.9,34.8,59.7,55.9,1.2,5.1,74.8,11.3,7.9,2.2,1.8,6.0,0.6,1.2
Ball State,2022,Defense,12,20.1,44.3,57.9,57.9,1.9,5.0,78.9,10.7,10.5,2.1,1.3,6.6,0.7,0.6
Ball State,2022,Difference,,+3.8,-9.5,+1.8,-2.0,-0.7,+0.1,-4.1,+0.6,-2.6,+0.1,+0.5,-0.6,-0.1,+0.6
Baylor,2024,Offense,13,19.5,37.8,61.3,60.4,1.9,6.3,69.5,12.1,9.1,1.8,1.2,6.2,0.4,0.8
Baylor,2024,Defense,13,18.2,37.8,60.3,49.8,1.2,5.7,68.0,10.3,8.0,2.2,1.6,5.6,0.5,1.1
Baylor,2024,Difference,,+1.3,0.0,+1.0,+10.6,+0.7,+0.6,+1.5,+1.8,+1.1,-0.4,-0.4,+0.6,-0.1,-0.3
Baylor,2023,Offense,12,21.9,34.4,59.5,28.9,1.1,5.3,71.3,11.6,7.3,1.0,1.3,4.1,0.7,0.6
