School,Year,W,L,Pct,Year Link
Connecticut,2022,6,7,.462,https://www.sports-reference.com/cfb/schools/connecticut/2022.html
Duke,2024,9,4,.692,https://www.sports-reference.com/cfb/schools/duke/2024.html
Duke,2023,8,5,.615,https://www.sports-reference.com/cfb/schools/duke/2023.html
Duke,2022,9,4,.692,https://www.sports-reference.com/cfb/schools/duke/2022.html
East Carolina,2024,8,5,.615,https://www.sports-reference.com/cfb/schools/east-carolina/2024.html
East Carolina,2023,2,10,.167,https://www.sports-reference.com/cfb/schools/east-carolina/2023.html
East Carolina,2022,8,5,.615,https://www.sports-reference.com/cfb/schools/east-carolina/2022.html
Eastern Michigan,2024,5,7,.417,https://www.sports-reference.com/cfb/schools/eastern-michigan/2024.html
Eastern Michigan,2023,6,7,.462,https://www.sports-reference.com/cfb/schools/eastern-michigan/2023.html
Eastern Michigan,2022,9,4,.692,https://www.sports-reference.com/cfb/schools/eastern-michigan/2022.html
Florida,2024,8,5,.615,https://www.sports-reference.com/cfb/schools/florida/2024.html
Florida,2023,5,7,.417,https://www.sports-reference.com/cfb/schools/florida/2023.html
Florida,2022,6,7,.462,https://www.sports-reference.com/cfb/schools/florida/2022.html
Florida Atlantic,2024,3,9,.250,https://www.sports-reference.com/cfb/schools/florida-atlantic/2024.html
Florida Atlantic,2023,4,8,.333,https://www.sports-reference.com/cfb/schools/florida-atlantic/2023.html
Florida Atlantic,2022,5,7,.417,https://www.sports-reference.com/cfb/schools/florida-atlantic/2022.html
Florida International,2024,4,8,.333,https://www.sports-reference.com/cfb/schools/florida-international/2024.html
Florida International,2023,4,8,.333,https://www.sports-reference.com/cfb/schools/florida-international/2023.html
Florida International,2022,4,8,.333,https://www.sports-reference.com/cfb/schools/florida-international/2022.html
Florida State,2024,2,10,.167,https://www.sports-reference.com/cfb/schools/florida-state/2024.html
Florida State,2023,13,1,.929,https://www.sports-reference.com/cfb/schools/florida-state/2023.html
Florida State,2022,10,3,.769,https://www.sports-reference.com/cfb/schools/florida-state/2022.html
Fresno State,2024,6,7,.462,https://www.sports-reference.com/cfb/schools/fresno-state/2024.html
Fresno State,2023,9,4,.692,https://www.sports-reference.com/cfb/schools/fresno-state/2023.html
Fresno State,2022,10,4,.714,https://www.sports-reference.com/cfb/schools/fresno-state/2022.html
Georgia,2024,11,3,.786,https://www.sports-reference.com/cfb/schools/georgia/2024.html
Georgia,2023,13,1,.929,https://www.sports-reference.com/cfb/schools/georgia/2023.html
Georgia,2022,15,0,1.000,https://www.sports-reference.com/cfb/schools/georgia/2022.html
Georgia Southern,2024,8,5,.615,https://www.sports-reference.com/cfb/schools/georgia-southern/2024.html
Georgia Southern,2023,6,7,.462,https://www.sports-reference.com/cfb/schools/georgia-southern/2023.html
Georgia Southern,2022,6,7,.462,https://www.sports-reference.com/cfb/schools/georgia-southern/2022.html
Georgia State,2024,3,9,.250,https://www.sports-reference.com/cfb/schools/georgia-state/2024.html
Georgia State,2023,7,6,.538,https://www.sports-reference.com/cfb/schools/georgia-state/2023.html
Georgia State,2022,4,8,.333,https://www.sports-reference.com/cfb/schools/georgia-state/2022.html
Georgia Tech,2024,7,6,.538,https://www.sports-reference.com/cfb/schools/georgia-tech/2024.html
Georgia Tech,2023,7,6,.538,https://www.sports-reference.com/cfb/schools/georgia-tech/2023.html
Georgia Tech,2022,5,7,.417,https://www.sports-reference.com/cfb/schools/georgia-tech/2022.html
Hawaii,2024,5,7,.417,https://www.sports-reference.com/cfb/schools/hawaii/2024.html
Hawaii,2023,5,8,.385,https://www.sports-reference.com/cfb/schools/hawaii/2023.html
Hawaii,2022,3,10,.231,https://www.sports-reference.com/cfb/schools/hawaii/2022.html
Houston,2024,4,8,.333,https://www.sports-reference.com/cfb/schools/houston/2024.html
Houston,2023,4,8,.333,https://www.sports-reference.com/cfb/schools/houston/2023.html
Houston,2022,8,5,.615,https://www.sports-reference.com/cfb/schools/houston/2022.html
Illinois,2024,10,3,.769,https://www.sports-reference.com/cfb/schools/illinois/2024.html
Illinois,2023,5,7,.417,https://www.sports-reference.com/cfb/schools/illinois/2023.html
Illinois,2022,8,5,.615,https://www.sports-reference.com/cfb/schools/illinois/2022.html
Indiana,2024,11,2,.846,https://www.sports-reference.com/cfb/schools/indiana/2024.html
Indiana,2023,3,9,.250,https://www.sports-reference.com/cfb/schools/indiana/2023.html
Indiana,2022,4,8,.333,https://www.sports-reference.com/cfb/schools/indiana/2022.html
Iowa,2024,8,5,.615,https://www.sports-reference.com/cfb/schools/iowa/2024.html
Iowa,2023,10,4,.714,https://www.sports-reference.com/cfb/schools/iowa/2023.html
Iowa,2022,8,5,.615,https://www.sports-reference.com/cfb/schools/iowa/2022.html
Iowa State,2024,11,3,.786,https://www.sports-reference.com/cfb/schools/iowa-state/2024.html
Iowa State,2023,7,6,.538,https://www.sports-reference.com/cfb/schools/iowa-state/2023.html
Iowa State,2022,4,8,.333,https://www.sports-reference.com/cfb/schools/iowa-state/2022.html
Kansas,2024,5,7,.417,https://www.sports-reference.com/cfb/schools/kansas/2024.html
Kansas,2023,9,4,.692,https://www.sports-reference.com/cfb/schools/kansas/2023.html
