School,Year,W,L,Pct,Year Link
Texas State,2024,8,5,.615,https://www.sports-reference.com/cfb/schools/texas-state/2024.html
Texas State,2023,8,5,.615,https://www.sports-reference.com/cfb/schools/texas-state/2023.html
Texas State,2022,4,8,.333,https://www.sports-reference.com/cfb/schools/texas-state/2022.html
Texas Tech,2024,8,5,.615,https://www.sports-reference.com/cfb/schools/texas-tech/2024.html
Texas Tech,2023,7,6,.538,https://www.sports-reference.com/cfb/schools/texas-tech/2023.html
Texas Tech,2022,8,5,.615,https://www.sports-reference.com/cfb/schools/texas-tech/2022.html
Toledo,2024,8,5,.615,https://www.sports-reference.com/cfb/schools/toledo/2024.html
Toledo,2023,11,3,.786,https://www.sports-reference.com/cfb/schools/toledo/2023.html
Toledo,2022,9,5,.643,https://www.sports-reference.com/cfb/schools/toledo/2022.html
Troy,2024,4,8,.333,https://www.sports-reference.com/cfb/schools/troy/2024.html
Troy,2023,11,3,.786,https://www.sports-reference.com/cfb/schools/troy/2023.html
Troy,2022,12,2,.857,https://www.sports-reference.com/cfb/schools/troy/2022.html
Tulane,2024,9,5,.643,https://www.sports-reference.com/cfb/schools/tulane/2024.html
Tulane,2023,11,3,.786,https://www.sports-reference.com/cfb/schools/tulane/2023.html
Tulane,2022,12,2,.857,https://www.sports-reference.com/cfb/schools/tulane/2022.html
Tulsa,2024,3,9,.250,https://www.sports-reference.com/cfb/schools/tulsa/2024.html
Tulsa,2023,4,8,.333,https://www.sports-reference.com/cfb/schools/tulsa/2023.html
Tulsa,2022,5,7,.417,https://www.sports-reference.com/cfb/schools/tulsa/2022.html
UAB,2024,3,9,.250,https://www.sports-reference.com/cfb/schools/alabama-birmingham/2024.html
UAB,2023,4,8,.333,https://www.sports-reference.com/cfb/schools/alabama-birmingham/2023.html
UAB,2022,7,6,.538,https://www.sports-reference.com/cfb/schools/alabama-birmingham/2022.html
UCF,2024,4,8,.333,https://www.sports-reference.com/cfb/schools/central-florida/2024.html
UCF,2023,6,7,.462,https://www.sports-reference.com/cfb/schools/central-florida/2023.html
UCF,2022,9,5,.643,https://www.sports-reference.com/cfb/schools/central-florida/2022.html
UCLA,2024,5,7,.417,https://www.sports-reference.com/cfb/schools/ucla/2024.html
UCLA,2023,8,5,.615,https://www.sports-reference.com/cfb/schools/ucla/2023.html
UCLA,2022,9,4,.692,https://www.sports-reference.com/cfb/schools/ucla/2022.html
USC,2024,7,6,.538,https://www.sports-reference.com/cfb/schools/southern-california/2024.html
USC,2023,8,5,.615,https://www.sports-reference.com/cfb/schools/southern-california/2023.html
USC,2022,11,3,.786,https://www.sports-reference.com/cfb/schools/southern-california/2022.html
Utah,2024,5,7,.417,https://www.sports-reference.com/cfb/schools/utah/2024.html
Utah,2023,8,5,.615,https://www.sports-reference.com/cfb/schools/utah/2023.html
Utah,2022,10,4,.714,https://www.sports-reference.com/cfb/schools/utah/2022.html
Utah State,2024,4,8,.333,https://www.sports-reference.com/cfb/schools/utah-state/2024.html
Utah State,2023,6,7,.462,https://www.sports-reference.com/cfb/schools/utah-state/2023.html
Utah State,2022,6,7,.462,https://www.sports-reference.com/cfb/schools/utah-state/2022.html
UTEP,2024,3,9,.250,https://www.sports-reference.com/cfb/schools/texas-el-paso/2024.html
UTEP,2023,3,9,.250,https://www.sports-reference.com/cfb/schools/texas-el-paso/2023.html
UTEP,2022,5,7,.417,https://www.sports-reference.com/cfb/schools/texas-el-paso/2022.html
UTSA,2024,7,6,.538,https://www.sports-reference.com/cfb/schools/texas-san-antonio/2024.html
UTSA,2023,9,4,.692,https://www.sports-reference.com/cfb/schools/texas-san-antonio/2023.html
UTSA,2022,11,3,.786,https://www.sports-reference.com/cfb/schools/texas-san-antonio/2022.html
Vanderbilt,2024,7,6,.538,https://www.sports-reference.com/cfb/schools/vanderbilt/2024.html
Vanderbilt,2023,2,10,.167,https://www.sports-reference.com/cfb/schools/vanderbilt/2023.html
Vanderbilt,2022,5,7,.417,https://www.sports-reference.com/cfb/schools/vanderbilt/2022.html
Virginia,2024,5,7,.417,https://www.sports-reference.com/cfb/schools/virginia/2024.html
Virginia,2023,3,9,.250,https://www.sports-reference.com/cfb/schools/virginia/2023.html
Virginia,2022,3,7,.300,https://www.sports-reference.com/cfb/schools/virginia/2022.html
Virginia Tech,2024,6,7,.462,https://www.sports-reference.com/cfb/schools/virginia-tech/2024.html
Virginia Tech,2023,7,6,.538,https://www.sports-reference.com/cfb/schools/virginia-tech/2023.html
Virginia Tech,2022,3,8,.273,https://www.sports-reference.com/cfb/schools/virginia-tech/2022.html
Wake Forest,2024,4,8,.333,https://www.sports-reference.com/cfb/schools/wake-forest/2024.html
Wake Forest,2023,4,8,.333,https://www.sports-reference.com/cfb/schools/wake-forest/2023.html
Wake Forest,2022,8,5,.615,https://www.sports-reference.com/cfb/schools/wake-forest/2022.html
Washington,2024,6,7,.462,https://www.sports-reference.com/cfb/schools/washington/2024.html
Washington,2023,14,1,.933,https://www.sports-reference.com/cfb/schools/washington/2023.html
Washington,2022,11,2,.846,https://www.sports-reference.com/cfb/schools/washington/2022.html
Washington State,2024,8,5,.615,https://www.sports-reference.com/cfb/schools/washington-state/2024.html
Washington State,2023,5,7,.417,https://www.sports-reference.com/cfb/schools/washington-state/2023.html
Washington State,2022,7,6,.538,https://www.sports-reference.com/cfb/schools/washington-state/2022.html
West Virginia,2024,6,7,.462,https://www.sports-reference.com/cfb/schools/west-virginia/2024.html
West Virginia,2023,9,4,.692,https://www.sports-reference.com/cfb/schools/west-virginia/2023.html
West Virginia,2022,5,7,.417,https://www.sports-reference.com/cfb/schools/west-virginia/2022.html
Western Kentucky,2024,8,6,.571,https://www.sports-reference.com/cfb/schools/western-kentucky/2024.html
Western Kentucky,2023,8,5,.615,https://www.sports-reference.com/cfb/schools/western-kentucky/2023.html
Western Kentucky,2022,9,5,.643,https://www.sports-reference.com/cfb/schools/western-kentucky/2022.html
Western Michigan,2024,6,7,.462,https://www.sports-reference.com/cfb/schools/western-michigan/2024.html
Western Michigan,2023,4,8,.333,https://www.sports-reference.com/cfb/schools/western-michigan/2023.html
Western Michigan,2022,5,7,.417,https://www.sports-reference.com/cfb/schools/western-michigan/2022.html
Wisconsin,2024,5,7,.417,https://www.sports-reference.com/cfb/schools/wisconsin/2024.html
Wisconsin,2023,7,6,.538,https://www.sports-reference.com/cfb/schools/wisconsin/2023.html
Wisconsin,2022,7,6,.538,https://www.sports-reference.com/cfb/schools/wisconsin/2022.html
Wyoming,2024,3,9,.250,https://www.sports-reference.com/cfb/schools/wyoming/2024.html
Wyoming,2023,9,4,.692,https://www.sports-reference.com/cfb/schools/wyoming/2023.html
Wyoming,2022,7,6,.538,https://www.sports-reference.com/cfb/schools/wyoming/2022.html
