Team,Year,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Rec,Receiving Yds_Rec,Receiving Y/R,Receiving TD_Rec,Receiving Y/G_Rec,Scrimmage Plays,Yds_Scrimmage,Scrimmage Avg,TD_Scrimmage
North Texas,2022,14,528,2798,5.3,24,199.9,241,3667,15.2,34,261.9,769,6465,8.4,58
Northern Illinois,2024,13,549,2649,4.8,22,203.8,216,2320,10.7,16,178.5,765,4969,6.5,38
Northern Illinois,2023,13,456,2335,5.1,23,179.6,211,2460,11.7,15,189.8,667,4802,7.2,38
Northern Illinois,2022,12,473,2285,4.9,19,190.4,185,2192,11.8,18,182.7,658,4477,6.8,37
Northwestern,2024,12,345,1182,3.5,12,98.5,210,2231,10.6,7,185.9,555,3413,6.2,19
Northwestern,2023,13,443,1325,3.1,13,101.9,241,2626,10.9,20,202.0,684,3951,5.8,33
Northwestern,2022,12,457,1501,3.4,11,125.1,245,2524,10.3,10,210.3,702,4025,5.8,21
Notre Dame,2024,16,555,3215,5.8,45,200.9,296,3170,10.7,24,198.1,851,6385,7.5,69
Notre Dame,2023,13,449,2414,5.4,28,185.7,227,3205,14.1,31,246.5,676,5619,8.3,59
Notre Dame,2022,13,519,2458,4.8,25,189.1,211,2692,12.8,25,207.1,730,5150,7.1,50
Ohio,2024,14,555,2984,5.5,35,213.1,217,2694,12.4,15,192.4,772,5678,7.4,50
Ohio,2023,13,469,1877,4.1,18,144.4,239,2647,11.1,16,203.6,708,4524,6.5,34
Ohio,2022,14,479,2003,4.3,23,143.1,302,3894,12.9,28,278.1,781,5897,7.6,51
Ohio State,2024,16,523,2662,5.1,34,166.4,325,4208,12.9,37,263.0,848,6870,8.1,71
Ohio State,2023,13,425,1805,4.3,20,138.8,255,3498,13.7,26,269.1,680,5303,7.8,46
Ohio State,2022,13,455,2501,5.5,30,192.4,274,3878,14.2,42,298.3,729,6379,8.8,72
Oklahoma,2024,13,515,2017,4.0,17,155.2,235,2286,9.7,16,175.8,750,4303,5.8,33
Oklahoma,2023,13,506,2368,4.7,32,182.2,310,4223,13.6,34,324.8,816,6591,8.1,66
Oklahoma,2022,13,570,2852,5.1,28,219.4,251,3310,13.2,27,254.6,821,6162,7.5,55
Oklahoma State,2024,12,350,1341,4.0,19,111.8,267,3147,11.8,21,262.3,617,4488,7.4,40
Oklahoma State,2023,14,431,2174,5.2,29,155.3,344,3871,11.3,18,276.5,775,6045,7.9,47
Oklahoma State,2022,13,460,1632,3.6,20,125.5,292,3634,12.4,24,279.5,752,5266,7.0,44
Old Dominion,2024,12,474,2517,5.3,27,209.8,195,2315,11.9,17,192.9,669,4832,7.2,44
Old Dominion,2023,13,468,1994,4.3,15,153.4,204,2532,12.4,20,194.8,672,4526,6.8,35
Old Dominion,2022,12,308,1107,3.7,8,92.3,237,2966,12.5,19,247.2,545,4073,7.5,27
Ole Miss,2024,13,496,2284,4.6,29,175.7,295,4561,15.5,31,350.8,791,6845,8.7,60
Ole Miss,2023,13,529,2292,4.3,29,176.3,256,3713,14.5,26,285.6,785,6005,7.7,55
Ole Miss,2022,13,605,3336,5.5,33,256.6,239,3117,13.0,22,239.8,844,6453,7.7,55
Oregon,2024,14,483,2211,4.6,30,157.9,335,3913,11.7,30,279.5,818,6124,7.5,60
Oregon,2023,14,423,2583,6.2,33,184.5,397,4857,12.2,49,346.9,820,7440,9.1,82
Oregon,2022,13,496,2805,5.7,34,215.8,308,3702,12.0,30,284.8,804,6507,8.1,64
Oregon State,2024,12,477,2270,4.8,29,189.2,216,2417,11.2,7,201.4,693,4687,6.8,36
Oregon State,2023,13,431,2172,5.2,26,167.1,222,3148,14.2,26,242.2,653,5320,8.2,52
Oregon State,2022,13,503,2554,5.2,36,196.5,201,2594,12.9,16,199.5,704,5148,7.4,52
Penn State,2024,16,609,3237,5.3,35,202.3,292,3646,12.5,30,227.9,901,6883,7.7,65
Penn State,2023,13,512,2403,4.7,26,184.8,246,2795,11.4,30,215.0,758,5198,6.9,56
Penn State,2022,13,477,2354,5.0,28,181.1,270,3283,12.2,29,252.5,747,5637,7.6,57
Pitt,2024,13,417,1843,4.4,16,141.8,302,3467,11.5,29,266.9,719,5313,7.4,45
Pitt,2023,12,348,1223,3.6,10,101.9,192,2592,13.5,17,216.0,540,3815,7.1,27
Pitt,2022,13,501,2379,4.9,30,183.0,223,2896,13.0,13,222.8,724,5275,7.4,43
Purdue,2024,12,344,1384,4.0,9,115.3,189,2207,11.7,13,183.9,533,3591,6.8,22
Purdue,2023,12,456,2029,4.5,20,169.1,234,2534,10.8,15,211.2,690,4563,6.6,35
Purdue,2022,14,456,1694,3.7,17,121.0,369,3903,10.6,26,278.8,825,5597,6.8,43
Rice,2024,12,297,1367,4.6,14,113.9,293,2868,9.8,17,239.0,590,4235,7.2,31
Rice,2023,13,373,1436,3.9,21,110.5,268,3282,12.2,29,252.5,641,4718,7.4,50
Rice,2022,13,457,1839,4.0,17,141.5,233,3028,13.0,23,232.9,690,4867,7.1,40
Rutgers,2024,13,511,2279,4.5,28,175.3,213,2696,12.7,18,207.4,724,4975,6.9,46
Rutgers,2023,13,504,2193,4.5,24,168.7,142,1788,12.6,10,137.5,646,3981,6.3,34
Rutgers,2022,12,423,1533,3.7,11,127.8,168,1847,11.0,11,153.9,591,3380,5.8,22
SMU,2024,14,528,2347,4.6,29,167.6,278,3666,13.2,28,261.9,806,6013,7.5,57
SMU,2023,14,540,2463,4.7,29,175.9,274,3897,14.2,33,278.4,814,6360,7.9,62
SMU,2022,13,483,2030,4.3,26,156.2,333,4117,12.4,36,316.7,816,6147,7.6,62
