Team,Year,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Rec,Receiving Yds_Rec,Receiving Y/R,Receiving TD_Rec,Receiving Y/G_Rec,Scrimmage Plays,Yds_Scrimmage,Scrimmage Avg,TD_Scrimmage
San Diego State,2024,12,423,1547,3.7,13,128.9,234,2484,10.6,15,205.7,657,4015,6.1,28
San Diego State,2023,12,445,1851,4.2,16,154.3,202,2061,10.2,10,171.8,647,3912,6.1,26
San Diego State,2022,13,463,1864,4.0,11,143.4,186,2360,12.7,15,181.5,649,4224,6.5,26
San Jose State,2024,13,304,1145,3.9,13,88.1,316,4182,13.2,31,321.8,620,5328,8.7,44
San Jose State,2023,13,412,2393,5.9,31,184.1,230,2853,12.4,21,219.5,642,5246,8.2,52
San Jose State,2022,12,336,1149,3.5,19,95.8,260,3270,12.6,23,272.5,596,4419,7.4,42
South Alabama,2024,13,435,2583,6.0,32,198.7,254,3165,12.5,21,243.5,689,5748,8.4,53
South Alabama,2023,13,465,2236,4.8,28,172.0,291,3486,12.0,28,268.2,756,5722,7.6,56
South Alabama,2022,13,493,2038,4.2,19,156.8,290,3479,12.0,28,267.6,783,5517,7.1,47
South Carolina,2024,13,538,2397,4.5,26,184.4,224,2904,13.0,21,223.4,762,5301,7.0,47
South Carolina,2023,12,357,1021,3.0,17,85.1,283,3336,11.8,21,278.0,640,4357,6.9,38
South Carolina,2022,13,404,1545,3.9,27,118.8,281,3380,12.0,23,260.0,685,4925,7.2,50
South Florida,2024,13,488,2343,4.8,34,180.2,262,2957,11.3,16,227.5,750,5300,7.1,50
South Florida,2023,13,573,2377,4.2,23,182.8,287,3494,12.2,27,268.8,860,5871,6.8,50
South Florida,2022,12,437,2374,5.5,25,197.8,188,2315,12.3,18,192.9,625,4689,7.5,43
Southern Mississippi,2024,12,409,1303,3.2,13,108.6,166,2099,12.6,7,174.9,575,3402,5.9,20
Southern Mississippi,2023,12,482,1953,4.1,16,162.8,188,2288,12.2,15,190.7,670,4241,6.3,31
Southern Mississippi,2022,13,465,1843,4.0,15,141.8,191,2698,14.1,20,207.5,656,4541,7.0,35
Stanford,2024,12,434,1592,3.7,11,132.7,224,2295,10.2,18,191.3,658,3887,5.9,29
Stanford,2023,12,407,1423,3.5,15,118.6,233,2796,12.0,11,233.0,640,4219,6.6,26
Stanford,2022,12,373,1288,3.5,14,107.3,275,3051,11.1,15,254.3,648,4339,6.7,29
Syracuse,2024,13,389,1269,3.3,22,97.6,393,4810,12.2,34,370.0,782,6079,7.8,56
Syracuse,2023,13,519,2240,4.3,20,172.3,192,2223,11.6,17,171.0,711,4463,6.3,37
Syracuse,2022,13,434,1852,4.3,21,142.5,228,3015,13.2,19,231.9,662,4867,7.4,40
Temple,2024,12,377,1113,3.0,10,92.8,242,2592,10.7,16,216.0,619,3705,6.0,26
Temple,2023,12,324,1148,3.6,9,95.7,283,3320,11.7,23,276.7,607,4468,7.4,32
Temple,2022,12,308,989,3.3,11,82.4,288,3217,11.2,18,268.1,596,4206,7.1,29
Tennessee,2024,13,576,2936,5.1,34,225.8,236,2875,12.2,21,221.2,812,5811,7.2,55
Tennessee,2023,13,486,2663,5.5,23,204.8,262,3162,12.1,22,243.2,748,5825,7.8,45
Tennessee,2022,13,518,2593,5.0,40,199.5,290,4239,14.6,38,326.1,808,6832,8.5,78
Texas,2024,16,570,2540,4.5,26,158.8,357,4460,12.5,40,278.8,927,7000,7.6,66
Texas,2023,14,518,2638,5.1,29,188.4,317,4047,12.8,25,289.1,835,6685,8.0,54
Texas,2022,13,464,2446,5.3,29,188.2,248,3138,12.7,22,241.4,712,5584,7.9,51
Texas A&M,2024,13,518,2541,4.9,27,195.5,216,2734,12.7,19,210.3,734,5275,7.2,46
Texas A&M,2023,13,453,1770,3.9,23,136.2,274,3520,12.8,24,270.8,727,5290,7.3,47
Texas A&M,2022,12,360,1698,4.7,12,141.5,220,2633,12.0,18,219.4,580,4331,7.5,30
Texas Christian,2024,13,387,1481,3.9,26,113.9,326,4068,12.5,29,312.9,713,5549,7.8,55
Texas Christian,2023,12,404,1854,4.6,19,154.5,319,3746,11.7,27,312.2,723,5600,7.7,46
Texas Christian,2022,15,550,2899,5.3,37,193.3,292,3926,13.4,33,261.7,842,6825,8.1,70
Texas State,2024,13,521,2707,5.2,27,208.2,299,3493,11.7,31,268.7,820,6200,7.6,58
Texas State,2023,13,515,2427,4.8,33,186.7,287,3522,12.3,24,270.9,802,5949,7.5,57
Texas State,2022,12,380,1249,3.4,9,104.1,275,2653,9.6,19,221.1,655,3902,6.0,28
Texas Tech,2024,13,467,2158,4.6,26,166.0,336,3857,11.5,31,296.7,803,6015,7.5,57
Texas Tech,2023,13,465,2115,4.6,17,162.7,284,2912,10.3,24,224.0,749,5027,6.7,41
Texas Tech,2022,13,516,2066,4.1,28,158.9,348,3926,11.3,26,302.5,864,5998,7.0,54
Toledo,2024,13,429,1504,3.6,13,115.7,276,3305,12.0,28,254.2,705,4809,6.9,41
Toledo,2023,14,507,2780,5.6,31,198.6,232,3089,13.3,26,220.6,739,5869,8.0,57
Toledo,2022,14,569,2484,4.5,23,177.4,247,3153,12.8,31,225.2,816,5637,7.0,54
Troy,2024,12,426,1874,4.6,17,156.2,213,2556,12.0,21,213.0,639,4430,7.0,38
Troy,2023,14,481,2148,4.5,19,153.4,280,3724,13.3,29,266.0,761,5872,7.7,48
Troy,2022,14,483,1638,3.5,21,117.0,251,3400,13.5,20,242.9,734,5038,6.9,41
Tulane,2024,14,554,2739,5.0,32,195.6,207,2931,14.2,25,209.4,761,5670,7.5,57
Tulane,2023,14,504,2171,4.4,16,155.1,229,3010,13.1,25,215.0,733,5181,7.1,41
Tulane,2022,14,543,2867,5.3,34,204.8,241,3312,13.7,30,236.6,784,6179,7.9,64
Tulsa,2024,12,450,1813,4.0,11,151.1,248,2863,11.5,23,238.6,698,4676,6.7,34
Tulsa,2023,12,525,2169,4.2,13,180.8,190,2456,12.9,20,204.7,715,4625,6.5,33
Tulsa,2022,12,419,1664,4.0,18,138.7,241,3278,13.6,27,273.2,660,4942,7.5,45
UAB,2024,12,390,1571,4.0,9,130.9,284,3139,11.1,24,261.6,674,4710,7.0,33
UAB,2023,12,422,1933,4.6,24,161.1,306,3467,11.3,22,288.9,728,5400,7.4,46
UAB,2022,13,520,3055,5.9,32,235.0,194,2634,13.6,15,202.6,714,5689,8.0,47
UCF,2024,12,516,2977,5.8,33,248.1,181,2396,13.2,14,199.7,697,5373,7.7,47
UCF,2023,13,526,2967,5.7,28,228.2,229,3364,14.7,24,258.8,755,6331,8.4,52
UCF,2022,14,607,3197,5.3,35,228.4,291,3377,11.6,22,241.2,898,6574,7.4,57
UCLA,2024,12,330,1039,3.2,4,86.6,259,2906,11.2,17,242.2,589,3945,6.7,21
UCLA,2023,13,514,2573,5.0,21,197.9,238,2979,12.5,24,229.2,752,5552,7.4,45
UCLA,2022,13,501,3084,6.2,36,237.2,292,3463,11.9,29,266.4,793,6547,8.3,65
USC,2024,13,357,1889,5.3,20,145.3,335,3795,11.3,29,291.9,692,5684,8.2,49
USC,2023,13,347,1750,5.2,33,134.6,314,4329,13.8,37,333.0,661,6079,9.3,70
USC,2022,14,462,2396,5.2,30,171.1,345,4696,13.6,43,335.4,807,7092,8.8,73
UTEP,2024,12,436,1449,3.3,9,120.8,223,2400,10.8,15,200.0,659,3849,5.8,24
UTEP,2023,12,445,1732,3.9,16,144.3,178,2612,14.7,13,217.7,623,4344,7.0,29
UTEP,2022,12,458,2006,4.4,14,167.2,202,2612,12.9,15,217.7,660,4618,7.0,29
UTSA,2024,13,478,2180,4.6,21,167.7,317,3685,11.6,27,283.5,795,5865,7.4,48
UTSA,2023,13,500,2233,4.5,27,171.8,290,3248,11.2,25,249.8,790,5481,7.0,52
UTSA,2022,14,526,2454,4.7,28,175.3,341,4210,12.3,34,300.7,867,6664,7.7,62
Utah,2024,12,394,1565,4.0,7,130.4,199,2393,12.0,20,199.4,593,3958,6.7,27
Utah,2023,13,552,2373,4.4,19,182.5,189,2156,11.4,15,165.8,741,4529,6.2,34
Utah,2022,14,556,3047,5.5,38,217.6,288,3489,12.1,31,249.2,844,6536,7.7,69
Utah State,2024,12,419,2383,5.7,21,198.6,294,3229,11.0,29,269.1,713,5612,7.9,50
Utah State,2023,13,495,2397,4.8,18,184.4,269,3305,12.3,35,254.2,764,5702,7.5,53
Utah State,2022,13,539,2069,3.9,14,159.2,230,2537,11.0,18,195.2,769,4606,6.0,32
Vanderbilt,2024,13,458,1817,4.0,18,139.8,179,2322,13.0,21,178.6,637,4139,6.5,39
Vanderbilt,2023,12,341,1143,3.4,10,95.3,217,2684,12.4,23,223.7,558,3827,6.9,33
Vanderbilt,2022,12,438,1919,4.4,13,159.9,200,2248,11.2,22,187.3,638,4167,6.6,35
Virginia,2024,12,425,1583,3.8,14,131.9,246,2748,11.2,16,229.0,671,4331,6.5,30
Virginia,2023,12,447,1415,3.2,12,117.9,248,3010,12.1,19,250.8,695,4425,6.4,31
Virginia,2022,10,326,1231,3.9,13,123.1,185,2210,11.9,7,221.0,511,3441,6.8,20
Virginia Tech,2024,13,484,2319,4.8,28,178.4,200,2462,12.3,15,189.4,684,4781,7.0,43
Virginia Tech,2023,13,492,2467,5.0,20,189.8,205,2622,12.8,23,201.7,697,5089,7.3,43
Virginia Tech,2022,11,378,1212,3.4,15,110.2,203,2236,11.0,9,203.3,581,3448,6.1,24
Wake Forest,2024,12,432,1567,3.7,18,130.6,248,2881,11.6,17,240.1,680,4448,6.6,35
Wake Forest,2023,12,461,1565,3.4,13,130.4,194,2368,12.2,14,197.3,655,3933,6.0,27
Wake Forest,2022,13,492,1696,3.5,17,130.5,302,4055,13.4,43,311.9,794,5751,7.3,60
Washington,2024,13,417,1674,4.1,14,128.8,302,3402,11.3,22,261.7,719,5076,7.1,36
Washington,2023,15,391,1776,4.6,28,118.4,376,5155,13.7,38,343.7,767,6931,9.1,66
Washington,2022,13,388,1898,5.0,33,146.0,373,4807,12.9,32,369.8,761,6705,8.9,65
Washington State,2024,13,461,2168,4.7,28,166.8,263,3589,13.6,33,276.1,724,5757,8.0,61
Washington State,2023,12,334,1018,3.1,17,84.8,340,4042,11.9,27,336.8,674,5060,7.5,44
Washington State,2022,13,352,1389,4.1,17,106.8,323,3300,10.2,24,253.8,675,4689,7.0,41
West Virginia,2024,13,517,2518,4.9,27,193.7,226,2734,12.1,20,210.3,743,5252,7.1,47
West Virginia,2023,13,552,2976,5.4,32,228.9,178,2674,15.0,18,205.7,730,5650,7.8,50
West Virginia,2022,12,441,2058,4.7,24,171.5,254,2730,10.7,20,227.5,695,4788,6.9,44
Western Kentucky,2024,14,430,1524,3.6,14,108.9,309,3705,12.0,28,264.6,739,5229,7.1,42
Western Kentucky,2023,13,347,1370,4.0,12,105.4,343,3853,11.2,38,296.4,690,5223,7.6,50
Western Kentucky,2022,14,406,2031,5.0,15,145.1,401,4931,12.3,43,352.2,807,6962,8.6,58
Western Michigan,2024,13,473,2379,5.1,28,183.0,212,2431,11.5,18,187.0,685,4810,7.1,46
Western Michigan,2023,12,472,1846,3.9,21,153.8,247,2534,10.3,13,211.2,719,4380,6.1,34
Western Michigan,2022,12,458,1635,3.6,14,136.3,167,1988,11.9,10,165.7,625,3623,5.8,24
Wisconsin,2024,12,419,1844,4.4,19,153.7,208,2360,11.3,14,196.7,627,4204,6.7,33
Wisconsin,2023,13,450,2093,4.7,22,161.0,281,2862,10.2,14,220.2,731,4955,6.8,36
Wisconsin,2022,13,497,2337,4.7,21,179.8,188,2390,12.7,21,183.8,685,4727,6.9,42
Wyoming,2024,12,448,1654,3.8,14,137.8,181,2273,12.6,11,189.4,629,3927,6.3,25
Wyoming,2023,13,461,2060,4.5,19,158.5,189,2191,11.6,20,168.5,650,4251,6.6,39
Wyoming,2022,13,470,2358,5.1,16,181.4,156,1719,11.0,11,132.2,626,4077,6.5,27
