Team,Year,Team ID,Team URL
Georgia Southern,2023,253,https://cfbstats.com/2023/team/253/index.html
Georgia Southern,2022,253,https://cfbstats.com/2022/team/253/index.html
Georgia State,2024,254,https://cfbstats.com/2024/team/254/index.html
Georgia State,2023,254,https://cfbstats.com/2023/team/254/index.html
Georgia State,2022,254,https://cfbstats.com/2022/team/254/index.html
Georgia Tech,2024,255,https://cfbstats.com/2024/team/255/index.html
Georgia Tech,2023,255,https://cfbstats.com/2023/team/255/index.html
Georgia Tech,2022,255,https://cfbstats.com/2022/team/255/index.html
Hawaii,2024,277,https://cfbstats.com/2024/team/277/index.html
Hawaii,2023,277,https://cfbstats.com/2023/team/277/index.html
Hawaii,2022,277,https://cfbstats.com/2022/team/277/index.html
Houston,2024,288,https://cfbstats.com/2024/team/288/index.html
Houston,2023,288,https://cfbstats.com/2023/team/288/index.html
Houston,2022,288,https://cfbstats.com/2022/team/288/index.html
Illinois,2024,301,https://cfbstats.com/2024/team/301/index.html
Illinois,2023,301,https://cfbstats.com/2023/team/301/index.html
Illinois,2022,301,https://cfbstats.com/2022/team/301/index.html
Indiana,2024,306,https://cfbstats.com/2024/team/306/index.html
Indiana,2023,306,https://cfbstats.com/2023/team/306/index.html
Indiana,2022,306,https://cfbstats.com/2022/team/306/index.html
Iowa,2024,312,https://cfbstats.com/2024/team/312/index.html
Iowa,2023,312,https://cfbstats.com/2023/team/312/index.html
Iowa,2022,312,https://cfbstats.com/2022/team/312/index.html
Iowa State,2024,311,https://cfbstats.com/2024/team/311/index.html
Iowa State,2023,311,https://cfbstats.com/2023/team/311/index.html
Iowa State,2022,311,https://cfbstats.com/2022/team/311/index.html
Kansas,2024,328,https://cfbstats.com/2024/team/328/index.html
Kansas,2023,328,https://cfbstats.com/2023/team/328/index.html
Kansas,2022,328,https://cfbstats.com/2022/team/328/index.html
Kansas State,2024,327,https://cfbstats.com/2024/team/327/index.html
Kansas State,2023,327,https://cfbstats.com/2023/team/327/index.html
Kansas State,2022,327,https://cfbstats.com/2022/team/327/index.html
Kent State,2024,331,https://cfbstats.com/2024/team/331/index.html
Kent State,2023,331,https://cfbstats.com/2023/team/331/index.html
Kent State,2022,331,https://cfbstats.com/2022/team/331/index.html
Kentucky,2024,334,https://cfbstats.com/2024/team/334/index.html
Kentucky,2023,334,https://cfbstats.com/2023/team/334/index.html
Kentucky,2022,334,https://cfbstats.com/2022/team/334/index.html
LSU,2024,365,https://cfbstats.com/2024/team/365/index.html
LSU,2023,365,https://cfbstats.com/2023/team/365/index.html
LSU,2022,365,https://cfbstats.com/2022/team/365/index.html
Louisiana,2024,671,https://cfbstats.com/2024/team/671/index.html
Louisiana,2023,671,https://cfbstats.com/2023/team/671/index.html
Louisiana,2022,671,https://cfbstats.com/2022/team/671/index.html
Louisiana Tech,2024,366,https://cfbstats.com/2024/team/366/index.html
Louisiana Tech,2023,366,https://cfbstats.com/2023/team/366/index.html
Louisiana Tech,2022,366,https://cfbstats.com/2022/team/366/index.html
Louisiana-Monroe,2024,498,https://cfbstats.com/2024/team/498/index.html
Louisiana-Monroe,2023,498,https://cfbstats.com/2023/team/498/index.html
Louisiana-Monroe,2022,498,https://cfbstats.com/2022/team/498/index.html
Louisville,2024,367,https://cfbstats.com/2024/team/367/index.html
Louisville,2023,367,https://cfbstats.com/2023/team/367/index.html
Louisville,2022,367,https://cfbstats.com/2022/team/367/index.html
Marshall,2024,388,https://cfbstats.com/2024/team/388/index.html
Marshall,2023,388,https://cfbstats.com/2023/team/388/index.html
Marshall,2022,388,https://cfbstats.com/2022/team/388/index.html
Maryland,2024,392,https://cfbstats.com/2024/team/392/index.html
Maryland,2023,392,https://cfbstats.com/2023/team/392/index.html
Maryland,2022,392,https://cfbstats.com/2022/team/392/index.html
Massachusetts,2024,400,https://cfbstats.com/2024/team/400/index.html
Massachusetts,2023,400,https://cfbstats.com/2023/team/400/index.html
Massachusetts,2022,400,https://cfbstats.com/2022/team/400/index.html
Memphis,2024,404,https://cfbstats.com/2024/team/404/index.html
Memphis,2023,404,https://cfbstats.com/2023/team/404/index.html
Memphis,2022,404,https://cfbstats.com/2022/team/404/index.html
Miami (FL),2024,415,https://cfbstats.com/2024/team/415/index.html
Miami (FL),2023,415,https://cfbstats.com/2023/team/415/index.html
Miami (FL),2022,415,https://cfbstats.com/2022/team/415/index.html
Miami (OH),2024,414,https://cfbstats.com/2024/team/414/index.html
Miami (OH),2023,414,https://cfbstats.com/2023/team/414/index.html
Miami (OH),2022,414,https://cfbstats.com/2022/team/414/index.html
Michigan,2024,418,https://cfbstats.com/2024/team/418/index.html
Michigan,2023,418,https://cfbstats.com/2023/team/418/index.html
Michigan,2022,418,https://cfbstats.com/2022/team/418/index.html
Michigan State,2024,416,https://cfbstats.com/2024/team/416/index.html
Michigan State,2023,416,https://cfbstats.com/2023/team/416/index.html
Michigan State,2022,416,https://cfbstats.com/2022/team/416/index.html
Middle Tennessee State,2024,419,https://cfbstats.com/2024/team/419/index.html
Middle Tennessee State,2023,419,https://cfbstats.com/2023/team/419/index.html
Middle Tennessee State,2022,419,https://cfbstats.com/2022/team/419/index.html
Minnesota,2024,428,https://cfbstats.com/2024/team/428/index.html
Minnesota,2023,428,https://cfbstats.com/2023/team/428/index.html
Minnesota,2022,428,https://cfbstats.com/2022/team/428/index.html
Mississippi State,2024,430,https://cfbstats.com/2024/team/430/index.html
Mississippi State,2023,430,https://cfbstats.com/2023/team/430/index.html
Mississippi State,2022,430,https://cfbstats.com/2022/team/430/index.html
Missouri,2024,434,https://cfbstats.com/2024/team/434/index.html
Missouri,2023,434,https://cfbstats.com/2023/team/434/index.html
Missouri,2022,434,https://cfbstats.com/2022/team/434/index.html
Navy,2024,726,https://cfbstats.com/2024/team/726/index.html
Navy,2023,726,https://cfbstats.com/2023/team/726/index.html
Navy,2022,726,https://cfbstats.com/2022/team/726/index.html
Nebraska,2024,463,https://cfbstats.com/2024/team/463/index.html
Nebraska,2023,463,https://cfbstats.com/2023/team/463/index.html
Nebraska,2022,463,https://cfbstats.com/2022/team/463/index.html
Nevada,2024,466,https://cfbstats.com/2024/team/466/index.html
Nevada,2023,466,https://cfbstats.com/2023/team/466/index.html
Nevada,2022,466,https://cfbstats.com/2022/team/466/index.html
Nevada-Las Vegas,2024,465,https://cfbstats.com/2024/team/465/index.html
Nevada-Las Vegas,2023,465,https://cfbstats.com/2023/team/465/index.html
Nevada-Las Vegas,2022,465,https://cfbstats.com/2022/team/465/index.html
New Mexico,2024,473,https://cfbstats.com/2024/team/473/index.html
New Mexico,2023,473,https://cfbstats.com/2023/team/473/index.html
New Mexico,2022,473,https://cfbstats.com/2022/team/473/index.html
New Mexico State,2024,472,https://cfbstats.com/2024/team/472/index.html
New Mexico State,2023,472,https://cfbstats.com/2023/team/472/index.html
New Mexico State,2022,472,https://cfbstats.com/2022/team/472/index.html
North Carolina,2024,457,https://cfbstats.com/2024/team/457/index.html
North Carolina,2023,457,https://cfbstats.com/2023/team/457/index.html
North Carolina,2022,457,https://cfbstats.com/2022/team/457/index.html
North Carolina State,2024,490,https://cfbstats.com/2024/team/490/index.html
North Carolina State,2023,490,https://cfbstats.com/2023/team/490/index.html
North Carolina State,2022,490,https://cfbstats.com/2022/team/490/index.html
North Texas,2024,497,https://cfbstats.com/2024/team/497/index.html
North Texas,2023,497,https://cfbstats.com/2023/team/497/index.html
North Texas,2022,497,https://cfbstats.com/2022/team/497/index.html
Northern Illinois,2024,503,https://cfbstats.com/2024/team/503/index.html
Northern Illinois,2023,503,https://cfbstats.com/2023/team/503/index.html
Northern Illinois,2022,503,https://cfbstats.com/2022/team/503/index.html
Northwestern,2024,509,https://cfbstats.com/2024/team/509/index.html
Northwestern,2023,509,https://cfbstats.com/2023/team/509/index.html
Northwestern,2022,509,https://cfbstats.com/2022/team/509/index.html
Notre Dame,2024,513,https://cfbstats.com/2024/team/513/index.html
Notre Dame,2023,513,https://cfbstats.com/2023/team/513/index.html
Notre Dame,2022,513,https://cfbstats.com/2022/team/513/index.html
Ohio,2024,519,https://cfbstats.com/2024/team/519/index.html
Ohio,2023,519,https://cfbstats.com/2023/team/519/index.html
Ohio,2022,519,https://cfbstats.com/2022/team/519/index.html
