School,Link
Texas Christian,https://www.sports-reference.com/cfb/schools/texas-christian/
Texas State,https://www.sports-reference.com/cfb/schools/texas-state/
Texas Tech,https://www.sports-reference.com/cfb/schools/texas-tech/
Toledo,https://www.sports-reference.com/cfb/schools/toledo/
Troy,https://www.sports-reference.com/cfb/schools/troy/
Tulane,https://www.sports-reference.com/cfb/schools/tulane/
Tulsa,https://www.sports-reference.com/cfb/schools/tulsa/
UAB,https://www.sports-reference.com/cfb/schools/alabama-birmingham/
UCF,https://www.sports-reference.com/cfb/schools/central-florida/
UCLA,https://www.sports-reference.com/cfb/schools/ucla/
USC,https://www.sports-reference.com/cfb/schools/southern-california/
Utah,https://www.sports-reference.com/cfb/schools/utah/
Utah State,https://www.sports-reference.com/cfb/schools/utah-state/
UTEP,https://www.sports-reference.com/cfb/schools/texas-el-paso/
UTSA,https://www.sports-reference.com/cfb/schools/texas-san-antonio/
Vanderbilt,https://www.sports-reference.com/cfb/schools/vanderbilt/
Virginia,https://www.sports-reference.com/cfb/schools/virginia/
Virginia Tech,https://www.sports-reference.com/cfb/schools/virginia-tech/
Wake Forest,https://www.sports-reference.com/cfb/schools/wake-forest/
Washington,https://www.sports-reference.com/cfb/schools/washington/
Washington State,https://www.sports-reference.com/cfb/schools/washington-state/
West Virginia,https://www.sports-reference.com/cfb/schools/west-virginia/
Western Kentucky,https://www.sports-reference.com/cfb/schools/western-kentucky/
Western Michigan,https://www.sports-reference.com/cfb/schools/western-michigan/
Wisconsin,https://www.sports-reference.com/cfb/schools/wisconsin/
Wyoming,https://www.sports-reference.com/cfb/schools/wyoming/
