Team,Year,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate
Washington,2024,13,302,417,72.6,3402,22,5.3,8,1.9,8.2,8.37,11.3,261.7,154.9
Washington,2023,15,376,574,65.5,5155,38,6.6,12,2.1,9.0,9.36,13.7,343.7,158.6
Washington,2022,13,373,575,65.2,4807,32,5.6,9,1.6,8.4,8.81,12.9,369.8,151.1
Washington State,2024,13,263,399,65.9,3589,33,8.3,9,2.3,9.0,9.63,13.6,276.1,164.3
Washington State,2023,12,340,510,66.7,4042,27,5.3,9,1.8,7.9,8.19,11.9,336.8,147.2
Washington State,2022,13,323,500,64.6,3300,24,4.8,9,1.8,6.6,6.75,10.2,253.8,132.3
West Virginia,2024,13,226,371,60.9,2734,20,5.4,14,3.8,7.4,6.75,12.1,210.3,133.1
West Virginia,2023,13,178,331,53.8,2674,18,5.4,7,2.1,8.1,8.21,15.0,205.7,135.4
West Virginia,2022,12,254,425,59.8,2730,20,4.7,12,2.8,6.4,6.09,10.7,227.5,123.6
Western Kentucky,2024,14,309,470,65.9,3705,28,6.0,12,2.6,7.9,7.94,12.0,264.6,146.8
Western Kentucky,2023,13,343,539,63.6,3853,38,7.1,14,2.6,7.1,7.39,11.2,296.4,141.8
Western Kentucky,2022,14,401,623,64.6,4931,43,6.9,12,1.9,7.9,8.46,12.3,352.2,150.3
Western Michigan,2024,13,212,323,65.6,2431,18,5.6,9,2.8,7.5,7.39,11.5,187.0,141.7
Western Michigan,2023,12,247,393,62.8,2534,13,3.3,9,2.3,6.4,6.08,10.3,211.2,123.3
Western Michigan,2022,12,167,335,49.9,1988,10,3.0,13,3.9,5.9,4.79,11.9,165.7,101.8
Wisconsin,2024,12,208,365,57.0,2360,14,3.8,10,2.7,6.5,6.0,11.3,196.7,118.5
Wisconsin,2023,13,281,469,60.2,2862,14,3.0,5,1.1,6.1,6.25,10.2,220.2,119.4
Wisconsin,2022,13,188,326,57.7,2390,21,6.4,11,3.4,7.3,7.1,12.7,183.8,133.8
Wyoming,2024,12,181,347,52.3,2273,11,3.2,11,3.2,6.6,5.77,12.6,189.4,111.6
Wyoming,2023,13,189,304,62.2,2191,20,6.6,6,2.0,7.2,7.63,11.6,168.5,140.5
Wyoming,2022,13,156,304,51.3,1719,11,3.6,12,3.9,5.7,4.6,11.0,132.2,102.9
