Team,Year,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate
Kent State,2023,12,160,305,52.5,1974,11,3.6,6,2.0,6.5,6.31,12.3,164.5,114.8
Kent State,2022,12,194,349,55.6,2582,17,4.9,8,2.3,7.4,7.34,13.3,215.2,129.2
Kentucky,2024,12,167,312,53.7,2218,15,4.8,17,5.5,7.1,5.64,13.3,184.8,118.6
Kentucky,2023,13,211,375,56.3,2751,25,6.7,12,3.2,7.3,7.23,13.0,211.6,133.5
Kentucky,2022,13,224,349,64.2,2710,21,6.0,13,3.7,7.8,7.29,12.1,208.5,141.8
LSU,2024,13,344,534,64.4,4097,29,5.4,12,2.2,7.7,7.75,11.9,315.2,142.3
LSU,2023,13,286,411,70.3,4406,44,10.8,5,1.2,10.8,12.43,15.4,338.9,194.4
LSU,2022,14,322,480,67.4,3770,23,4.8,7,1.5,7.9,8.19,11.7,269.3,146.6
Louisiana,2024,14,269,412,65.6,3482,22,5.4,9,2.2,8.5,8.58,12.9,248.7,150.3
Louisiana,2023,13,238,367,64.9,2817,23,6.3,9,2.5,7.7,7.83,11.8,216.7,145.1
Louisiana,2022,13,253,442,57.2,2893,27,6.1,10,2.3,6.5,6.75,11.4,222.5,127.9
Louisiana Tech,2024,13,256,413,62.1,2908,18,4.4,8,1.9,7.1,7.06,11.4,223.7,132.0
Louisiana Tech,2023,12,269,423,63.6,3131,16,3.8,11,2.6,7.4,6.99,11.6,260.9,133.1
Louisiana Tech,2022,12,254,434,58.5,3207,25,5.8,19,4.4,7.4,6.57,12.6,267.3,130.8
Louisiana-Monroe,2024,12,134,246,54.5,1617,11,4.5,12,4.9,6.6,5.27,12.1,134.8,114.7
Louisiana-Monroe,2023,12,177,345,51.5,2098,15,4.4,13,3.8,6.1,5.27,11.9,174.8,109.5
Louisiana-Monroe,2022,12,221,332,67.2,2464,16,4.9,7,2.1,7.5,7.5,11.1,205.3,141.9
Louisville,2024,13,271,427,63.6,3433,26,6.1,6,1.4,8.1,8.65,12.7,264.1,148.6
Louisville,2023,14,266,408,65.2,3313,22,5.4,12,2.9,8.1,7.88,12.5,236.6,145.3
Louisville,2022,13,218,368,59.2,2672,13,3.5,12,3.3,7.3,6.5,12.3,205.5,125.4
Marshall,2024,13,194,333,58.3,2354,27,8.1,4,1.2,7.1,8.15,12.1,181.1,142.0
Marshall,2023,13,268,426,62.9,2940,12,2.8,18,4.2,6.9,5.56,11.0,226.2,121.7
Marshall,2022,13,225,367,61.8,2496,16,4.4,10,2.7,6.9,6.5,11.1,192.0,128.4
Maryland,2024,12,315,494,64.2,3308,21,4.3,14,2.9,6.7,6.31,10.5,275.7,129.2
Maryland,2023,13,307,477,64.4,3626,27,5.7,13,2.7,7.6,7.51,11.8,278.9,141.4
Maryland,2022,13,294,446,65.9,3383,21,4.7,8,1.8,7.6,7.72,11.5,260.2,141.6
Massachusetts,2024,12,187,327,57.2,2181,14,4.3,6,1.8,6.7,6.7,11.7,181.8,123.7
Massachusetts,2023,12,212,348,60.9,2569,14,4.0,11,3.2,7.4,6.76,12.1,214.1,129.9
Massachusetts,2022,12,136,277,49.1,1403,4,1.4,14,5.1,5.1,3.08,10.3,116.9,86.3
Memphis,2024,13,310,479,64.7,3516,25,5.2,6,1.3,7.3,7.82,11.3,270.5,141.1
Memphis,2023,13,321,481,66.7,3984,33,6.9,10,2.1,8.3,8.72,12.4,306.5,154.8
Memphis,2022,13,290,454,64.0,3629,23,5.1,8,1.8,8.0,8.23,12.5,279.2,144.5
Miami (FL),2024,13,328,489,67.1,4527,41,8.4,8,1.6,9.3,10.2,13.8,348.2,169.2
Miami (FL),2023,13,283,436,65.1,3354,23,5.3,14,3.2,7.7,7.32,11.9,258.0,140.8
Miami (FL),2022,12,255,413,61.7,2868,18,4.4,12,2.9,6.9,6.51,11.2,239.0,128.6
Miami (OH),2024,14,225,399,56.5,3044,23,5.8,12,3.0,7.6,7.45,13.5,217.4,133.8
Miami (OH),2023,14,165,293,56.3,2316,16,5.5,7,2.4,7.9,7.92,14.0,165.4,136.0
Miami (OH),2022,13,184,337,54.6,2152,15,4.5,5,1.5,6.4,6.61,11.7,165.5,120.0
Michigan,2024,13,190,308,61.7,1678,12,3.9,13,4.2,5.4,4.33,8.8,129.1,111.9
Michigan,2023,15,260,361,72.2,3205,24,6.7,5,1.4,8.9,9.61,12.3,213.7,166.2
Michigan,2022,14,238,370,64.5,3078,24,6.5,6,1.6,8.3,8.91,12.9,219.9,152.8
Michigan State,2024,12,212,353,60.1,2617,13,3.7,12,3.4,7.4,6.62,12.3,218.1,127.7
Michigan State,2023,12,221,379,58.5,2398,14,3.7,13,3.4,6.3,5.54,10.9,199.8,117.1
Michigan State,2022,12,258,412,62.9,2880,23,5.6,12,2.9,7.0,6.83,11.2,240.0,134.6
Middle Tennessee State,2024,12,273,428,63.9,3133,16,3.7,10,2.3,7.3,7.03,11.5,261.1,133.2
Middle Tennessee State,2023,12,295,438,67.4,3192,23,5.3,13,3.0,7.3,7.0,10.8,266.0,140.0
Middle Tennessee State,2022,13,341,512,66.7,3442,21,4.1,11,2.2,6.7,6.59,10.1,264.8,132.6
Minnesota,2024,13,273,412,66.7,2888,20,4.9,6,1.5,7.1,7.38,10.6,222.2,139.3
Minnesota,2023,13,164,312,52.7,1864,16,5.1,11,3.5,6.0,5.43,11.4,143.4,113.0
Minnesota,2022,13,172,281,61.6,2369,12,4.3,9,3.2,8.5,7.9,13.8,182.2,140.7
Mississippi State,2024,12,215,368,58.6,2871,19,5.2,8,2.2,7.8,7.88,13.4,239.3,137.0
Mississippi State,2023,12,201,348,57.8,2182,15,4.3,10,2.9,6.3,5.84,10.9,181.8,118.9
Mississippi State,2022,13,428,634,68.2,4046,36,5.7,9,1.4,6.4,6.94,9.5,311.2,138.3
Missouri,2024,13,250,404,61.9,2926,14,3.5,5,1.2,7.2,7.38,11.7,225.1,131.7
Missouri,2023,13,248,378,66.0,3410,23,6.1,7,1.9,9.1,9.45,13.8,262.3,158.6
Missouri,2022,13,251,396,63.9,2783,14,3.6,9,2.3,7.1,6.76,11.1,214.1,130.5
Navy,2024,13,99,179,55.3,1609,15,8.4,6,3.4,9.0,9.16,16.3,123.8,151.8
Navy,2023,12,102,199,51.5,1268,10,5.1,5,2.5,6.4,6.28,12.4,105.7,116.9
Navy,2022,12,54,126,45.4,1028,9,7.6,6,5.0,8.6,7.88,19.0,85.7,132.8
Nebraska,2024,13,288,435,66.5,2969,13,3.0,12,2.8,6.9,6.21,10.3,228.4,128.5
Nebraska,2023,12,136,261,52.1,1631,10,3.8,16,6.1,6.2,4.26,12.0,135.9,105.0
Nebraska,2022,12,205,340,60.3,2650,17,5.0,13,3.8,7.8,7.07,12.9,220.8,134.6
Nevada,2024,13,247,366,67.9,2764,19,5.2,8,2.2,7.6,7.65,11.2,212.6,144.5
Nevada,2023,12,191,345,55.4,2102,6,1.7,12,3.5,6.1,4.88,11.0,175.2,105.3
Nevada,2022,12,217,398,54.7,2227,7,1.8,8,2.0,5.6,5.06,10.3,185.6,103.6
Nevada-Las Vegas,2024,14,178,309,57.8,2417,25,8.1,6,1.9,7.8,8.59,13.6,172.6,146.6
Nevada-Las Vegas,2023,14,251,404,62.1,3349,17,4.2,12,3.0,8.3,7.79,13.3,239.2,139.7
Nevada-Las Vegas,2022,12,227,361,62.9,2580,15,4.2,7,1.9,7.1,7.11,11.4,215.0,132.7
New Mexico,2024,12,226,390,57.9,2768,12,3.1,12,3.1,7.1,6.33,12.2,230.7,121.6
New Mexico,2023,12,198,353,56.4,2615,17,4.8,10,2.8,7.5,7.14,13.2,217.9,129.3
New Mexico,2022,12,137,255,53.9,1259,3,1.2,9,3.5,5.0,3.6,9.2,104.9,92.4
New Mexico State,2024,12,141,320,44.1,1718,12,3.8,12,3.8,5.4,4.43,12.2,143.2,94.0
New Mexico State,2023,15,235,393,59.8,3206,28,7.1,10,2.5,8.2,8.44,13.6,213.7,146.7
New Mexico State,2022,13,159,305,52.3,2199,18,5.9,13,4.3,7.2,6.49,13.8,169.2,124.1
North Carolina,2024,13,230,392,58.8,2917,18,4.6,9,2.3,7.5,7.35,12.7,224.4,132.1
North Carolina,2023,13,292,460,63.5,3889,26,5.7,11,2.4,8.5,8.51,13.3,299.2,148.4
North Carolina,2022,14,344,526,65.6,4330,38,7.3,7,1.3,8.3,9.11,12.6,309.3,156.3
North Carolina State,2024,13,255,391,65.2,3024,21,5.4,13,3.3,7.7,7.31,11.9,232.6,141.3
North Carolina State,2023,13,224,379,59.3,2521,19,5.0,12,3.2,6.7,6.25,11.3,193.9,125.5
North Carolina State,2022,13,269,471,57.4,2939,23,4.9,8,1.7,6.3,6.48,10.9,226.1,122.8
North Texas,2024,13,353,562,63.1,4267,33,5.9,14,2.5,7.6,7.69,12.1,328.2,141.7
North Texas,2023,12,284,462,61.6,3656,33,7.2,9,2.0,7.9,8.48,12.9,304.7,147.9
North Texas,2022,14,241,432,56.0,3667,34,7.9,16,3.7,8.5,8.43,15.2,261.9,146.3
Northern Illinois,2024,13,216,371,58.5,2320,16,4.3,8,2.2,6.3,6.18,10.7,178.5,121.3
Northern Illinois,2023,13,211,366,58.1,2467,15,4.1,9,2.5,6.8,6.51,11.7,189.8,123.9
Northern Illinois,2022,12,185,328,56.4,2192,18,5.5,14,4.3,6.7,5.86,11.8,182.7,122.1
Northwestern,2024,12,210,391,53.7,2231,7,1.8,11,2.8,5.7,4.8,10.6,185.9,101.9
Northwestern,2023,13,241,389,62.8,2626,20,5.2,8,2.1,6.8,6.94,10.9,202.0,133.2
Northwestern,2022,12,245,417,58.8,2524,10,2.4,17,4.1,6.1,4.7,10.3,210.3,109.4
Notre Dame,2024,16,296,445,67.0,3170,24,5.4,8,1.8,7.2,7.44,10.7,198.1,141.5
Notre Dame,2023,13,227,351,65.4,3205,31,8.9,9,2.6,9.2,9.86,14.1,246.5,167.3
Notre Dame,2022,13,211,338,62.4,2692,25,7.4,11,3.3,8.0,7.98,12.8,207.1,147.2
Ohio,2024,14,217,345,63.1,2694,15,4.4,12,3.5,7.8,7.13,12.4,192.4,136.3
Ohio,2023,13,239,383,62.4,2647,16,4.2,9,2.3,6.9,6.69,11.1,203.6,129.5
Ohio,2022,14,302,464,65.1,3894,28,6.0,5,1.1,8.4,9.11,12.9,278.1,153.3
Ohio State,2024,16,325,455,71.4,4208,37,8.1,10,2.2,9.2,9.89,12.9,263.0,171.6
Ohio State,2023,13,255,400,63.9,3498,26,6.5,7,1.8,8.8,9.28,13.7,269.1,155.5
Ohio State,2022,13,274,410,67.0,3878,42,10.3,6,1.5,9.5,10.88,14.2,298.3,177.6
