Team,Year,Team ID,Split,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
Stanford,2023,674,All Games,12,423,280,66.2,3576,8.5,32,8,158.38,35.3,298.0
Stanford,2022,674,All Games,12,351,203,57.8,2516,7.2,22,6,135.31,29.3,209.7
Syracuse,2024,688,All Games,13,405,267,65.9,2955,7.3,22,11,139.72,31.2,227.3
Syracuse,2023,688,All Games,13,425,269,63.3,3021,7.1,21,9,135.07,32.7,232.4
Syracuse,2022,688,All Games,13,369,246,66.7,2403,6.5,18,10,132.05,28.4,184.8
Temple,2024,690,All Games,12,333,196,58.9,2300,6.9,20,9,131.29,27.8,191.7
Temple,2023,690,All Games,12,328,211,64.3,2919,8.9,27,3,164.42,27.3,243.3
Temple,2022,690,All Games,12,326,209,64.1,2383,7.3,21,6,143.09,27.2,198.6
Tennessee,2024,694,All Games,13,381,224,58.8,2461,6.5,11,12,116.28,29.3,189.3
Tennessee,2023,694,All Games,13,414,270,65.2,2879,7.0,15,12,129.79,31.8,221.5
Tennessee,2022,694,All Games,13,532,333,62.6,3764,7.1,21,11,130.91,40.9,289.5
Texas,2024,703,All Games,16,489,292,59.7,2781,5.7,9,22,104.55,30.6,173.8
Texas,2023,703,All Games,14,503,307,61.0,3561,7.1,21,16,127.92,35.9,254.4
Texas,2022,703,All Games,13,501,315,62.9,3155,6.3,18,10,123.63,38.5,242.7
Texas A&M,2024,697,All Games,13,428,228,53.3,3018,7.1,20,16,120.44,32.9,232.2
Texas A&M,2023,697,All Games,13,365,217,59.5,2696,7.4,19,9,133.74,28.1,207.4
Texas A&M,2022,697,All Games,12,327,184,56.3,1874,5.7,15,4,117.10,27.3,156.2
Texas Christian,2024,698,All Games,13,403,232,57.6,2407,6.0,14,10,114.24,31.0,185.2
Texas Christian,2023,698,All Games,12,400,239,59.8,3044,7.6,16,8,132.87,33.3,253.7
Texas Christian,2022,698,All Games,15,514,284,55.3,3740,7.3,25,16,126.19,34.3,249.3
Texas State,2024,670,All Games,13,401,230,57.4,2790,7.0,13,9,122.02,30.8,214.6
Texas State,2023,670,All Games,13,417,271,65.0,3202,7.7,24,11,143.20,32.1,246.3
Texas State,2022,670,All Games,12,419,272,64.9,2939,7.0,18,11,132.77,34.9,244.9
Texas Tech,2024,700,All Games,13,475,304,64.0,4005,8.4,28,14,148.39,36.5,308.1
Texas Tech,2023,700,All Games,13,443,267,60.3,2979,6.7,16,13,122.81,34.1,229.2
Texas Tech,2022,700,All Games,13,425,251,59.1,3338,7.9,23,10,138.18,32.7,256.8
Toledo,2024,709,All Games,13,426,245,57.5,2703,6.3,16,13,117.10,32.8,207.9
Toledo,2023,709,All Games,14,410,219,53.4,2562,6.2,12,11,110.20,29.3,183.0
Toledo,2022,709,All Games,14,429,234,54.5,2562,6.0,17,12,112.20,30.6,183.0
Troy,2024,716,All Games,12,332,222,66.9,2659,8.0,13,6,143.46,27.7,221.6
Troy,2023,716,All Games,14,435,272,62.5,2821,6.5,13,10,122.26,31.1,201.5
Troy,2022,716,All Games,14,484,290,59.9,2905,6.0,14,13,114.52,34.6,207.5
Tulane,2024,718,All Games,14,404,235,58.2,2488,6.2,13,14,113.59,28.9,177.7
Tulane,2023,718,All Games,14,473,309,65.3,3200,6.8,18,17,127.53,33.8,228.6
Tulane,2022,718,All Games,14,463,277,59.8,2913,6.3,23,12,123.89,33.1,208.1
Tulsa,2024,719,All Games,12,396,261,65.9,3792,9.6,38,9,173.47,33.0,316.0
Tulsa,2023,719,All Games,12,388,250,64.4,3358,8.7,24,10,152.39,32.3,279.8
Tulsa,2022,719,All Games,12,338,195,57.7,2476,7.3,21,6,136.17,28.2,206.3
UAB,2024,9,All Games,12,318,174,54.7,2164,6.8,18,8,125.53,26.5,180.3
UAB,2023,9,All Games,12,389,241,62.0,2855,7.3,24,10,138.82,32.4,237.9
UAB,2022,9,All Games,13,406,232,57.1,2534,6.2,16,10,117.64,31.2,194.9
UCF,2024,128,All Games,12,376,244,64.9,2624,7.0,21,9,137.15,31.3,218.7
UCF,2023,128,All Games,13,366,210,57.4,2557,7.0,12,12,120.32,28.2,196.7
UCF,2022,128,All Games,14,454,268,59.0,3112,6.9,15,6,124.87,32.4,222.3
UCLA,2024,110,All Games,12,411,269,65.5,2936,7.1,19,10,135.85,34.3,244.7
UCLA,2023,110,All Games,13,450,273,60.7,2870,6.4,16,15,119.31,34.6,220.8
UCLA,2022,110,All Games,13,486,318,65.4,3549,7.3,25,11,139.22,37.4,273.0
USC,2024,657,All Games,13,437,296,67.7,3066,7.0,15,12,132.51,33.6,235.8
USC,2023,657,All Games,13,417,267,64.0,3203,7.7,31,7,149.72,32.1,246.4
USC,2022,657,All Games,14,460,293,63.7,3698,8.0,25,19,140.91,32.9,264.1
UTEP,2024,704,All Games,12,352,216,61.4,2678,7.6,23,11,140.58,29.3,223.2
UTEP,2023,704,All Games,12,313,177,56.5,2216,7.1,16,6,129.06,26.1,184.7
UTEP,2022,704,All Games,12,318,180,56.6,2598,8.2,23,5,145.96,26.5,216.5
UTSA,2024,706,All Games,13,416,242,58.2,3456,8.3,28,11,144.88,32.0,265.8
UTSA,2023,706,All Games,13,452,254,56.2,3037,6.7,19,10,122.09,34.8,233.6
UTSA,2022,706,All Games,14,472,273,57.8,3408,7.2,21,15,126.81,33.7,243.4
Utah,2024,732,All Games,12,380,199,52.4,2403,6.3,15,12,112.20,31.7,200.3
Utah,2023,732,All Games,13,421,246,58.4,2917,6.9,17,8,126.16,32.4,224.4
Utah,2022,732,All Games,14,413,253,61.3,3117,7.5,20,12,134.82,29.5,222.6
Utah State,2024,731,All Games,12,393,267,67.9,3067,7.8,28,13,150.38,32.8,255.6
Utah State,2023,731,All Games,13,425,249,58.6,2855,6.7,27,10,131.27,32.7,219.6
Utah State,2022,731,All Games,13,372,204,54.8,2665,7.2,27,11,133.06,28.6,205.0
Vanderbilt,2024,736,All Games,13,389,265,68.1,3064,7.9,24,10,149.51,29.9,235.7
Vanderbilt,2023,736,All Games,12,421,290,68.9,3355,8.0,26,12,150.50,35.1,279.6
Vanderbilt,2022,736,All Games,12,399,257,64.4,3486,8.7,29,6,158.77,33.3,290.5
Virginia,2024,746,All Games,12,392,243,62.0,3157,8.1,20,9,141.89,32.7,263.1
Virginia,2023,746,All Games,12,378,232,61.4,2697,7.1,19,8,133.67,31.5,224.8
Virginia,2022,746,All Games,10,312,191,61.2,2044,6.6,10,5,123.62,31.2,204.4
Virginia Tech,2024,742,All Games,13,400,219,54.8,2807,7.0,20,15,122.70,30.8,215.9
Virginia Tech,2023,742,All Games,13,341,208,61.0,2194,6.4,16,7,126.42,26.2,168.8
Wake Forest,2024,749,All Games,12,455,320,70.3,3334,7.3,23,11,143.72,37.9,277.8
Wake Forest,2023,749,All Games,12,354,218,61.6,2788,7.9,24,8,145.59,29.5,232.3
Wake Forest,2022,749,All Games,13,466,280,60.1,3489,7.5,29,7,140.52,35.8,268.4
Washington,2023,756,All Games,15,583,345,59.2,3879,6.7,23,16,122.60,38.9,258.6
Washington,2022,756,All Games,13,418,263,62.9,3269,7.8,26,7,145.80,32.2,251.5
Washington State,2024,754,All Games,13,486,307,63.2,3517,7.2,25,14,135.18,37.4,270.5
Washington State,2023,754,All Games,12,399,241,60.4,2863,7.2,14,8,128.24,33.3,238.6
Washington State,2022,754,All Games,13,460,286,62.2,3480,7.6,19,12,134.13,35.4,267.7
West Virginia,2024,768,All Games,13,386,247,64.0,3521,9.1,26,5,160.25,29.7,270.8
West Virginia,2023,768,All Games,13,417,251,60.2,3086,7.4,26,11,137.65,32.1,237.4
West Virginia,2022,768,All Games,12,386,229,59.3,3152,8.2,22,4,144.66,32.2,262.7
Western Kentucky,2024,772,All Games,14,321,195,60.7,2465,7.7,18,10,137.52,22.9,176.1
Western Kentucky,2023,772,All Games,13,430,251,58.4,2986,6.9,20,15,125.07,33.1,229.7
Western Kentucky,2022,772,All Games,14,498,310,62.2,3304,6.6,21,19,124.27,35.6,236.0
Western Michigan,2024,774,All Games,13,344,211,61.3,2894,8.4,20,8,146.55,26.5,222.6
Western Michigan,2023,774,All Games,12,361,220,60.9,2815,7.8,23,9,142.47,30.1,234.6
Western Michigan,2022,774,All Games,12,351,203,57.8,2545,7.3,15,11,126.58,29.3,212.1
Wisconsin,2024,796,All Games,12,323,202,62.5,2132,6.6,12,4,127.77,26.9,177.7
Wisconsin,2023,796,All Games,13,417,254,60.9,2716,6.5,19,13,124.41,32.1,208.9
Wisconsin,2022,796,All Games,13,376,222,59.0,2656,7.1,18,17,125.14,28.9,204.3
Wyoming,2024,811,All Games,12,342,211,61.7,2627,7.7,16,6,138.15,28.5,218.9
Wyoming,2023,811,All Games,13,433,253,58.4,2772,6.4,18,11,120.85,33.3,213.2
Wyoming,2022,811,All Games,13,433,261,60.3,2821,6.5,19,6,126.72,33.3,217.0
South Alabama,2023,646,All Games,13,354,208,58.8,2594,7.3,19,13,130.69,27.2,199.5
Virginia Tech,2022,742,All Games,11,374,222,59.4,2596,6.9,13,4,126.99,34.0,236.0
Washington,2024,756,All Games,13,377,210,55.7,2165,5.7,16,8,113.71,29.0,166.5
