Team,Year,Team ID,Split,G,Att,Yards,Avg.,TD,Att/G,Yards/G
Western Kentucky,2022,772,All Games,14,528,2070,3.92,17,37.71,147.86
Western Michigan,2024,774,All Games,13,500,2502,5.00,28,38.46,192.46
Western Michigan,2023,774,All Games,12,412,1905,4.62,22,34.33,158.75
Western Michigan,2022,774,All Games,12,427,1683,3.94,18,35.58,140.25
Wisconsin,2024,796,All Games,12,428,1980,4.63,20,35.67,165.00
Wisconsin,2023,796,All Games,13,457,1756,3.84,13,35.15,135.08
Wisconsin,2022,796,All Games,13,443,1290,2.91,14,34.08,99.23
Wyoming,2024,811,All Games,12,420,2300,5.48,21,35.00,191.67
Wyoming,2023,811,All Games,13,453,1879,4.15,12,34.85,144.54
Wyoming,2022,811,All Games,13,467,1995,4.27,17,35.92,153.46
Texas Tech,2022,700,All Games,13,516,2194,4.25,18,39.69,168.77
Toledo,2022,709,All Games,14,523,2005,3.83,25,37.36,143.21
Tulsa,2023,719,All Games,12,423,1978,4.68,24,35.25,164.83
UAB,2024,9,All Games,12,505,2555,5.06,31,42.08,212.92
Virginia Tech,2022,742,All Games,11,381,1487,3.90,15,34.64,135.18
Wake Forest,2023,749,All Games,12,440,1852,4.21,13,36.67,154.33
